timestamp,name,player_tag,trophies,bestTrophies,wins,losses,battleCount
2025-09-02T22:11:00.007341,GRG,#U2282JYGL,10000,10000,3204,2272,5476
2025-09-02T22:11:20.346567,GRG,#U2282JYGL,10000,10000,3204,2272,5476
2025-09-02T22:11:58.999435,GRG,#U2282JYGL,10000,10000,3204,2272,5476
